id,comment,program,time,love,play
김영주, 남자 105 입는 사람은 입기 힘들까요?,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
하하, 혹시 요루면 도트 파자마도 당일 출고는 불가능할까요~?,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
새도테러, ㅇ,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
새도테러, 소재물어볼려다가 걍 상품페이지 가서 볼려고 ㅇ만 쳤음,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
써니, 세트가격인가요?,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
써니, 헐,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
써니, 아~커플세트 가격인줄 알았네요ㅋ,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
츄츄, 크리스마스 세트랑 체크세트 차이가뭔가요?,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
츄츄, 아니요 체크 커플이요~,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
츄츄, 장바구니에 다른 체크있더라구요,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
츄츄, 네네,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
츄츄, 아! 감사합니다,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
몽자, 4번 남성용 두개 시키면 오늘이나 내일 출고되나요,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
몽자, 키170인데용 여성용은 바지 짧을까요?,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
ara, 홀리파자마도 보여주세용,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
링링, 와 색깔 넘 예뻐요,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
링링, 보풀은 잘 안날까요??,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
링링, 선생님 입고계신 옷 정말 예쁘네요~~,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
링링, 혹시 원픽을 고르자면 어떤 색깔을 추천하시나요??,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
링링, 답변 감사합니다 ㅎㅎ,크리스마스_커플잠옷_특가_라이브,2021-12-20_074257,845,"1,436"
링링, 혹시 머리 풀고 입으신 모습도 볼 수 있나요?? 너무 실례일까요 ㅠ 죄송해용,크리스마스_커플잠옷_특가_라이브,2021-12-20_075132,881,"1,491"
링링, 와 넘 예뻐요!!!!! 꼭 구매하겠습니다 감사해요 ㅠㅠ 언니 넘 예뻐요 ㅠ,크리스마스_커플잠옷_특가_라이브,2021-12-20_075224,881,"1,501"
링링, 혹시 특가는 언제까지 진행되나요,크리스마스_커플잠옷_특가_라이브,2021-12-20_075224,881,"1,501"
링링, 두개 주문했어용 ㅎㅎㅎ 남자친구한테 작으면 제가 두개 더 입으려구요,크리스마스_커플잠옷_특가_라이브,2021-12-20_075823,904,"1,558"
